SITENO,YR,11,12,21,22,23,24,31,41,42,43,52,71,81,82,90,95
01365000,2003,0.04,0,1.2,0.11,0.01,0,0.01,82.56,1.98,12.4,0.04,0.02,1.3,0,0.29,0.04
01371500,2003,1.25,0,9.41,5.08,1.69,0.41,0.21,43.87,0.22,2.62,0.14,0.08,17.78,4.78,11.48,0.98
01372500,2003,0.82,0,9,3.38,0.77,0.2,0.24,51.54,0.59,4.74,0.08,0.07,19.58,1.15,7.17,0.66
01411300,2003,0.12,0,3.58,1.47,0.24,0,0.24,32.28,1.55,21.17,2.65,0.09,1.48,4.17,30.9,0.05
01413500,2003,0.09,0,4.33,0.99,0.21,0.02,0.01,69.89,1.37,10.76,0.01,0.03,11.06,0.02,1.08,0.11
01414500,2003,0.22,0,1.83,0.09,0,0,0.01,75.94,2.06,13.55,0.04,0.01,5.67,0,0.51,0.07
01415000,2003,0.29,0,3.94,0.71,0.08,0,0.02,67.88,1.14,6.3,0.01,0.02,18.23,0.01,1.25,0.12
01421000,2003,1.59,0,3.54,0.73,0.17,0.01,0.05,71.6,1.5,12.38,0.04,0.08,6.88,0.07,1.27,0.08
01423000,2003,0.23,0,5.29,1.1,0.25,0.06,0.05,58.57,1.14,4.72,0.01,0.03,26.23,0.99,1.07,0.26
01426500,2003,1.54,0,4.85,1.06,0.24,0.04,0.09,59.23,1.89,8.98,0.14,0.15,19.75,0.75,1.04,0.25
01434025,2003,0,0,0,0,0,0,0,98.14,0.29,1.57,0,0,0,0,0,0
01435000,2003,0.09,0,1.56,0.23,0.02,0,0.02,76.73,5.09,14.63,0.15,0.08,0.68,0,0.71,0.02
01439500,2003,2,0,5.45,0.75,0.12,0.01,0.02,76.61,0.26,3.97,0.16,0.69,0.04,0,9.78,0.14
01440000,2003,0.72,0,3.16,0.63,0.09,0.01,0,69.17,0.72,11.57,0.3,0.05,3.67,0,9.61,0.31
01440400,2003,1.09,0,7.08,0.72,0.18,0.02,0.06,70.74,0.88,11.42,0.02,0.22,1.04,0,6.43,0.1
01445000,2003,2.43,0,11.04,4.4,0.93,0.11,0.02,49.95,0.13,1.83,0.16,0.16,10.25,3.98,14.21,0.41
01445500,2003,1.22,0,9.05,3.86,0.86,0.09,0.07,47.02,0.06,1.73,0.32,0.08,11.86,7.47,15.82,0.49
01451800,2003,0.1,0,8.63,5.71,0.82,0.13,0,26.8,0.12,2.39,0.13,0.01,17.48,37.41,0.27,0
01466500,2003,0,0,1.66,0.13,0,0,0.69,0.01,70.78,10.62,0.04,0,0,0,16.05,0
01484100,2003,0,0,3.67,3.46,0.18,0,0,3.98,0.78,8.41,0.21,0,0,53.74,25.57,0
01485500,2003,0.03,0,3.99,1.69,0.25,0.01,0.02,0.13,14.99,4.42,2.82,0.7,0.1,18.61,52.2,0.04
01486000,2003,0.01,0,5.34,4.93,2.39,0.47,0,0.45,9.98,3.68,2.5,0.09,0.03,30.44,39.59,0.09
01487000,2003,0.03,0,3.94,4.56,0.95,0.23,0,2.08,2.12,4.37,0.59,0.26,0,54.27,26.59,0.01
01491000,2003,0.17,0,5.06,3.27,0.27,0.02,0.06,5.44,0.75,3.11,0.52,0.01,0.06,47.26,34.01,0
01500500,2003,1.57,0,5.62,1.46,0.41,0.07,0.06,37.27,5.05,14,0.13,0.15,24.76,2.03,6.52,0.88
