SITENO,11,12,21,22,23,24,31,41,42,43,52,71,81,82,90,95
01013500,6.39,0.00,1.37,1.02,0.10,0.01,0.09,16.45,14.60,32.87,5.06,3.46,2.69,2.27,13.21,0.41
01022500,3.03,0.00,1.46,1.01,0.06,0.01,0.19,11.93,30.33,24.27,6.06,3.22,0.04,0.07,17.44,0.89
01030500,2.77,0.00,1.40,0.89,0.07,0.00,0.10,10.18,15.56,38.21,3.59,1.42,2.50,0.34,22.36,0.62
01031500,2.28,0.00,1.83,0.77,0.11,0.02,0.09,20.68,14.22,40.27,6.33,1.87,1.83,0.04,9.27,0.40
01047000,0.89,0.00,1.65,1.08,0.13,0.01,0.21,32.83,16.66,29.29,5.56,1.79,1.20,0.07,8.42,0.21
01048000,1.32,0.00,2.77,1.30,0.29,0.04,0.27,32.39,8.27,35.08,4.25,2.25,4.49,0.26,6.77,0.24
01052500,0.30,0.00,0.68,0.16,0.00,0.00,0.00,47.02,19.10,20.05,3.49,3.35,0.00,0.00,5.84,0.01
01054200,0.02,0.00,0.30,0.08,0.01,0.00,0.03,42.97,30.72,24.81,0.22,0.03,0.00,0.00,0.75,0.06
01055000,0.14,0.00,1.19,0.62,0.02,0.00,0.14,42.75,18.61,23.38,7.43,3.83,0.37,0.00,1.50,0.02
01055500,1.41,0.00,3.85,1.59,0.27,0.03,0.42,29.91,6.64,35.16,1.64,1.24,6.97,0.48,9.98,0.43
01057000,1.53,0.00,3.44,1.62,0.25,0.01,0.28,33.21,10.21,36.94,1.92,1.64,3.54,0.01,5.21,0.18
01060000,0.90,0.00,6.90,3.89,1.01,0.15,1.49,10.24,12.63,37.16,0.79,0.93,9.91,0.49,12.18,1.34
01064500,0.48,0.00,2.59,1.60,0.44,0.08,0.74,31.33,31.31,26.88,1.06,0.43,0.81,0.15,1.94,0.14
01073000,1.25,0.00,6.17,3.43,1.09,0.37,1.94,13.73,10.81,39.26,0.82,1.21,4.81,0.03,14.45,0.63
01076500,0.52,0.00,2.00,1.29,0.43,0.04,0.39,36.01,24.78,29.11,1.16,0.73,1.20,0.05,2.16,0.13
01078000,0.64,0.00,3.17,1.14,0.11,0.01,0.49,28.66,13.80,38.18,2.34,1.46,2.31,0.07,7.34,0.28
01118300,0.19,0.00,5.76,0.41,0.00,0.00,0.00,71.44,0.26,2.84,1.06,0.27,2.35,1.18,14.16,0.09
01121000,1.30,0.00,6.42,0.93,0.26,0.01,0.01,63.05,0.47,7.68,0.07,0.22,5.53,0.24,13.22,0.58
01123000,0.33,0.00,6.93,0.86,0.09,0.00,0.14,60.01,1.29,5.55,0.35,0.32,6.51,1.20,15.05,1.37
01127000,2.45,0.00,8.55,4.11,1.71,0.39,0.64,36.36,4.04,16.89,0.34,0.84,6.09,1.47,15.58,0.54
01134500,0.08,0.00,0.92,0.26,0.01,0.00,0.02,52.40,11.91,23.27,2.74,1.17,0.33,0.00,6.71,0.18
01137500,0.02,0.00,1.82,1.52,0.34,0.01,1.36,26.54,41.67,21.93,1.40,0.81,0.04,0.00,2.50,0.04
01139000,1.27,0.00,2.45,1.36,0.33,0.03,0.20,38.89,11.32,26.19,1.60,1.22,6.89,0.04,7.97,0.26
01139800,0.03,0.00,2.26,0.37,0.01,0.00,0.00,62.65,3.45,24.86,1.07,0.45,3.72,0.00,1.01,0.11
01142500,0.05,0.00,3.97,1.50,0.17,0.03,0.03,38.61,11.19,19.92,0.25,0.13,20.10,0.55,3.28,0.24
01144000,0.26,0.00,3.19,1.06,0.23,0.02,0.10,48.65,9.48,24.28,0.63,0.28,9.58,0.21,1.91,0.11
01162500,2.79,0.00,3.99,1.44,0.34,0.02,0.19,11.80,21.53,32.57,1.66,1.96,1.57,0.02,19.18,0.93
01169000,0.14,0.00,3.96,0.71,0.10,0.00,0.15,29.41,11.11,43.24,0.32,0.41,6.73,0.13,3.38,0.18
01170100,0.35,0.00,2.54,0.21,0.03,0.00,0.01,37.66,7.91,44.80,0.20,0.26,3.35,0.02,2.60,0.06
01181000,1.15,0.00,4.91,0.78,0.13,0.00,0.05,47.40,2.52,34.37,0.20,0.40,1.32,0.00,6.70,0.07
01187300,1.77,0.00,3.02,0.19,0.01,0.00,0.00,28.78,5.35,49.26,0.31,0.29,0.62,0.00,10.25,0.16
01195100,0.12,0.00,18.35,5.01,0.82,0.03,0.00,62.86,0.02,0.99,0.15,0.51,0.93,0.00,10.20,0.02
01197500,2.22,0.00,7.57,4.58,1.76,0.60,0.54,38.07,4.74,21.71,0.20,0.15,5.93,0.17,11.14,0.62
01200000,1.10,0.00,6.56,2.26,0.61,0.09,0.35,47.32,1.55,6.03,0.06,0.16,20.33,5.05,7.41,1.12
01321000,3.12,0.00,0.77,0.41,0.05,0.00,0.07,64.02,7.38,15.40,0.10,0.15,0.03,0.00,8.28,0.22
