SITENO,11,12,21,22,23,24,31,41,42,43,52,71,81,82,90,95
01013500,6.31,0.00,1.43,1.09,0.10,0.01,0.10,15.79,14.62,30.51,6.58,4.92,2.51,2.40,13.15,0.48
01022500,2.94,0.00,1.62,0.99,0.07,0.01,0.22,13.01,32.02,25.01,2.78,2.69,0.04,0.12,17.50,1.00
01030500,2.74,0.00,1.50,0.88,0.07,0.00,0.10,11.08,15.52,37.87,2.47,1.35,2.48,0.34,22.93,0.69
01031500,2.17,0.00,1.92,0.75,0.12,0.02,0.13,21.95,14.72,40.88,3.31,2.43,1.79,0.04,9.33,0.43
01047000,0.85,0.00,1.78,1.06,0.13,0.01,0.24,34.95,17.04,29.53,3.32,1.03,1.20,0.08,8.56,0.22
01048000,1.29,0.00,2.91,1.30,0.29,0.05,0.31,34.21,8.64,35.31,2.55,1.22,4.47,0.28,6.92,0.26
01052500,0.30,0.00,0.69,0.15,0.00,0.00,0.00,46.98,19.05,21.40,3.77,1.82,0.00,0.00,5.84,0.01
01054200,0.02,0.00,0.27,0.09,0.03,0.00,0.06,42.77,31.03,24.60,0.22,0.09,0.00,0.00,0.72,0.08
01055000,0.14,0.00,1.24,0.59,0.02,0.00,0.15,38.90,19.83,24.65,9.26,3.33,0.37,0.00,1.51,0.03
01055500,1.40,0.00,4.05,1.65,0.30,0.04,0.44,29.46,6.34,34.18,2.37,1.81,6.85,0.47,10.20,0.44
01057000,1.52,0.00,3.61,1.73,0.25,0.01,0.27,32.81,9.84,36.07,2.37,2.56,3.46,0.02,5.28,0.19
01060000,0.88,0.00,7.32,4.05,1.07,0.17,1.64,10.25,12.51,36.55,0.75,1.14,9.61,0.52,12.21,1.34
01064500,0.48,0.00,2.68,1.69,0.46,0.09,0.80,31.35,31.49,26.66,0.84,0.43,0.77,0.16,1.95,0.15
01073000,1.17,0.00,6.51,3.73,1.49,0.43,1.71,13.86,10.75,38.00,1.11,1.29,4.78,0.03,14.59,0.56
01076500,0.49,0.00,2.10,1.34,0.45,0.04,0.41,36.19,24.85,28.81,1.11,0.68,1.16,0.05,2.18,0.14
01078000,0.63,0.00,3.27,1.20,0.12,0.01,0.51,30.28,12.99,36.78,2.68,1.50,2.28,0.06,7.40,0.29
01118300,0.19,0.00,5.91,0.39,0.00,0.00,0.00,70.42,0.26,2.88,1.16,1.05,2.32,1.13,14.18,0.11
01121000,1.12,0.00,6.50,0.98,0.27,0.01,0.01,62.76,0.47,7.56,0.18,0.42,5.71,0.06,13.30,0.65
01123000,0.27,0.00,7.02,0.91,0.11,0.00,0.14,59.77,1.29,5.47,0.36,0.37,6.63,1.15,15.10,1.41
01127000,2.37,0.00,8.88,4.34,1.77,0.43,0.71,35.81,4.12,16.52,0.58,0.88,6.21,1.21,15.55,0.62
01134500,0.05,0.00,0.93,0.28,0.01,0.00,0.03,53.23,11.85,23.47,1.96,0.95,0.32,0.00,6.73,0.20
01137500,0.02,0.00,1.94,1.56,0.34,0.01,1.41,26.85,41.81,22.06,1.04,0.35,0.04,0.00,2.52,0.05
01139000,1.27,0.00,2.52,1.41,0.33,0.03,0.20,39.54,11.16,25.73,2.08,0.61,6.83,0.02,8.00,0.27
01139800,0.03,0.00,2.22,0.43,0.01,0.00,0.00,63.97,3.22,24.28,0.69,0.48,3.51,0.00,1.04,0.12
01142500,0.05,0.00,4.11,1.54,0.17,0.03,0.08,38.76,11.01,19.82,0.23,0.18,20.19,0.33,3.28,0.22
01144000,0.24,0.00,3.28,1.11,0.25,0.02,0.14,49.12,9.01,24.07,0.65,0.49,9.41,0.21,1.89,0.12
01162500,2.70,0.00,4.07,1.53,0.36,0.02,0.18,12.70,21.55,30.97,1.70,2.30,1.58,0.04,19.35,0.96
01169000,0.12,0.00,4.08,0.76,0.10,0.00,0.15,29.59,10.92,43.06,0.45,0.43,6.63,0.12,3.38,0.20
01170100,0.33,0.00,2.61,0.30,0.03,0.00,0.02,38.16,7.71,44.32,0.33,0.25,3.26,0.02,2.63,0.05
01181000,1.15,0.00,4.97,0.81,0.13,0.00,0.07,47.68,2.53,33.74,0.37,0.45,1.30,0.00,6.73,0.07
01187300,1.72,0.00,3.03,0.31,0.02,0.00,0.04,28.65,5.29,48.46,0.46,0.77,0.77,0.00,10.25,0.23
01195100,0.18,0.00,18.47,5.09,1.14,0.09,0.00,62.23,0.02,0.97,0.10,0.39,1.15,0.00,10.18,0.01
01197500,2.21,0.00,7.78,4.70,1.74,0.63,0.57,38.13,4.61,21.64,0.11,0.19,5.81,0.14,11.14,0.62
01200000,1.10,0.00,6.82,2.38,0.67,0.11,0.35,47.39,1.49,5.85,0.08,0.27,20.36,4.59,7.39,1.14
01321000,3.07,0.00,0.79,0.41,0.05,0.00,0.07,63.96,7.39,15.37,0.14,0.22,0.03,0.00,8.29,0.22
01333000,0.01,0.00,4.20,1.46,0.43,0.10,0.03,70.40,2.13,7.03,0.21,0.14,11.17,0.60,2.00,0.09
01334500,0.35,0.00,4.96,2.51,1.02,0.25,0.39,59.87,3.13,11.00,0.16,0.15,10.93,1.18,3.82,0.27
01348000,2.15,0.00,2.21,0.62,0.12,0.02,0.06,51.97,9.15,15.95,0.45,0.20,5.41,0.77,10.71,0.20
01350000,0.31,0.00,4.60,1.39,0.30,0.02,0.14,51.18,8.38,24.58,0.17,0.20,6.35,0.05,2.15,0.18
01350080,0.06,0.00,4.74,0.56,0.05,0.00,0.12,36.74,10.89,29.50,0.36,0.97,12.51,0.00,3.27,0.22
01350140,0.40,0.00,6.04,0.75,0.13,0.00,0.03,36.79,7.60,31.02,0.50,0.13,12.64,0.00,3.91,0.07
01365000,0.02,0.00,1.25,0.13,0.01,0.00,0.01,82.90,1.90,12.16,0.01,0.02,1.25,0.00,0.29,0.04
01371500,1.21,0.00,10.09,5.77,2.04,0.51,0.25,43.13,0.17,2.47,0.17,0.23,17.40,4.13,11.35,1.07
01372500,0.78,0.00,9.60,3.75,0.91,0.22,0.22,51.06,0.53,4.52,0.06,0.28,18.92,1.33,7.01,0.81
01411300,0.10,0.00,3.93,1.62,0.38,0.01,0.33,32.60,1.55,20.99,2.58,0.61,2.25,2.11,30.84,0.10
01413500,0.08,0.00,4.54,1.05,0.22,0.02,0.01,69.89,1.35,10.74,0.02,0.05,10.81,0.01,1.08,0.10
01414500,0.25,0.00,1.89,0.11,0.00,0.00,0.00,76.24,1.78,13.42,0.17,0.00,5.58,0.00,0.50,0.06
01415000,0.26,0.00,4.16,0.77,0.10,0.00,0.04,67.69,1.13,6.25,0.19,0.04,17.99,0.00,1.23,0.15
01421000,1.58,0.00,3.66,0.79,0.19,0.01,0.06,71.57,1.47,12.33,0.09,0.10,6.75,0.06,1.26,0.08
01423000,0.25,0.00,5.57,1.15,0.28,0.07,0.06,58.57,1.10,4.71,0.02,0.06,26.21,0.62,1.06,0.26
01426500,1.51,0.00,5.11,1.10,0.26,0.05,0.14,59.38,1.75,8.97,0.11,0.15,19.68,0.49,1.04,0.25
01434025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.14,0.29,1.57,0.00,0.00,0.00,0.00,0.00,0.00
01435000,0.10,0.00,1.57,0.29,0.04,0.00,0.04,76.76,4.96,14.65,0.04,0.18,0.65,0.00,0.67,0.05
01439500,1.87,0.00,5.37,0.90,0.14,0.01,0.02,76.70,0.26,3.95,0.33,0.48,0.04,0.00,9.81,0.12
