SITENO,11,12,21,22,23,24,31,41,42,43,52,71,81,82,90,95
01013500,6.35,0.00,1.45,1.06,0.10,0.01,0.09,15.14,14.69,30.77,7.61,4.14,2.61,2.35,13.18,0.45
01022500,2.95,0.00,1.57,1.02,0.07,0.01,0.21,12.36,31.67,24.56,3.81,3.22,0.04,0.10,17.46,0.97
01030500,2.75,0.00,1.46,0.89,0.07,0.00,0.10,10.33,15.56,37.73,3.75,1.22,2.44,0.38,22.65,0.67
01031500,2.24,0.00,1.92,0.75,0.12,0.02,0.12,21.12,14.69,40.74,4.80,1.89,1.81,0.05,9.31,0.42
01047000,0.88,0.00,1.74,1.07,0.13,0.01,0.22,33.29,16.73,29.29,5.13,1.56,1.18,0.10,8.45,0.22
01048000,1.33,0.00,2.87,1.29,0.29,0.05,0.28,33.00,8.32,35.15,4.49,1.14,4.46,0.26,6.83,0.24
01052500,0.30,0.00,0.69,0.16,0.00,0.00,0.00,46.09,19.01,20.43,5.26,2.21,0.00,0.00,5.84,0.01
01054200,0.02,0.00,0.29,0.09,0.02,0.00,0.05,42.82,31.01,24.61,0.18,0.10,0.00,0.00,0.73,0.07
01055000,0.15,0.00,1.24,0.59,0.02,0.00,0.14,40.28,19.41,23.45,8.74,4.07,0.37,0.00,1.50,0.03
01055500,1.43,0.00,3.99,1.62,0.29,0.03,0.43,29.61,6.42,34.55,2.08,1.64,6.90,0.49,10.09,0.44
01057000,1.54,0.00,3.55,1.69,0.25,0.01,0.26,32.85,9.87,36.71,3.18,1.13,3.50,0.01,5.25,0.19
01060000,0.88,0.00,7.14,3.96,1.04,0.16,1.59,10.23,12.47,36.77,0.81,1.16,9.71,0.52,12.20,1.35
01064500,0.50,0.00,2.63,1.65,0.45,0.08,0.77,31.37,31.41,26.75,0.93,0.44,0.79,0.16,1.94,0.13
01073000,1.20,0.00,6.32,3.47,1.36,0.42,1.87,13.81,10.61,38.35,1.16,1.49,4.79,0.03,14.47,0.67
01076500,0.50,0.00,2.06,1.32,0.44,0.04,0.40,36.07,24.83,28.81,1.26,0.73,1.17,0.06,2.17,0.13
01078000,0.64,0.00,3.24,1.18,0.12,0.01,0.50,29.28,13.19,36.91,3.04,1.88,2.28,0.07,7.38,0.29
01118300,0.20,0.00,5.88,0.39,0.00,0.00,0.00,70.23,0.26,2.86,1.83,0.62,2.33,1.15,14.17,0.10
01121000,1.19,0.00,6.50,0.96,0.26,0.01,0.01,62.88,0.47,7.68,0.07,0.33,5.55,0.22,13.27,0.61
01123000,0.28,0.00,7.00,0.89,0.09,0.00,0.14,59.89,1.30,5.48,0.30,0.38,6.54,1.20,15.10,1.41
01127000,2.36,0.00,8.76,4.21,1.74,0.41,0.69,35.86,4.17,16.65,0.66,0.83,6.12,1.36,15.57,0.60
01134500,0.06,0.00,0.93,0.27,0.01,0.00,0.03,52.78,11.91,23.02,2.62,1.15,0.32,0.00,6.70,0.21
01137500,0.02,0.00,1.89,1.54,0.34,0.01,1.39,26.49,41.72,21.81,1.52,0.68,0.04,0.00,2.51,0.04
01139000,1.26,0.00,2.49,1.40,0.33,0.03,0.20,39.01,11.09,25.71,2.34,1.09,6.84,0.03,7.91,0.27
01139800,0.02,0.00,2.25,0.38,0.01,0.00,0.00,63.50,3.21,24.45,0.95,0.50,3.56,0.00,1.03,0.11
01142500,0.05,0.00,4.08,1.53,0.18,0.03,0.06,38.79,11.07,19.80,0.18,0.18,20.10,0.45,3.28,0.23
01144000,0.26,0.00,3.26,1.09,0.24,0.02,0.13,49.09,9.21,24.06,0.52,0.44,9.45,0.23,1.89,0.12
01162500,2.81,0.00,4.05,1.47,0.35,0.02,0.18,12.13,22.04,31.66,2.25,1.24,1.58,0.03,19.23,0.94
01169000,0.12,0.00,4.03,0.75,0.10,0.00,0.15,29.59,11.11,42.90,0.52,0.36,6.63,0.16,3.38,0.19
01170100,0.35,0.00,2.58,0.29,0.03,0.00,0.02,38.06,7.76,44.31,0.30,0.33,3.28,0.02,2.62,0.06
