SITENO,YR,11,12,21,22,23,24,31,41,42,43,52,71,81,82,90,95
01013500,1993,6.37,0.00,1.03,0.71,0.06,0.00,0.08,17.52,14.56,36.10,3.34,1.93,1.83,3.16,12.92,0.39
01022500,1993,2.99,0.00,1.19,0.81,0.04,0.01,0.17,13.60,28.52,21.84,4.43,8.01,0.04,0.05,17.37,0.94
01030500,1993,2.72,0.00,1.20,0.77,0.06,0.00,0.08,9.32,17.22,37.05,3.64,2.49,2.11,0.74,22.01,0.58
01031500,1993,2.26,0.00,1.73,0.68,0.09,0.02,0.07,19.90,14.63,40.90,3.87,4.38,1.84,0.04,9.18,0.39
01047000,1993,0.88,0.00,1.62,0.85,0.10,0.01,0.16,35.05,17.55,30.28,1.04,2.67,1.24,0.01,8.32,0.20
01048000,1993,1.31,0.00,2.65,1.16,0.24,0.04,0.20,34.19,10.32,36.61,0.82,0.65,4.39,0.41,6.75,0.25
01052500,1993,0.30,0.00,0.59,0.13,0.00,0.00,0.00,49.15,19.45,19.01,2.27,3.27,0.00,0.00,5.81,0.00
01054200,1993,0.02,0.00,0.31,0.06,0.00,0.00,0.02,42.97,30.65,24.82,0.28,0.06,0.00,0.00,0.76,0.05
01055000,1993,0.14,0.00,1.12,0.54,0.02,0.00,0.11,48.50,18.87,25.12,1.33,2.40,0.37,0.00,1.46,0.02
01055500,1993,1.42,0.00,3.64,1.30,0.17,0.01,0.31,30.02,8.38,35.22,0.61,0.89,7.04,0.58,9.98,0.41
01057000,1993,1.54,0.00,3.24,1.43,0.21,0.01,0.24,34.07,12.38,36.88,0.55,0.41,3.63,0.00,5.23,0.17
01060000,1993,0.88,0.00,6.27,3.17,0.75,0.10,1.12,10.36,14.68,36.97,0.61,0.72,10.22,0.51,12.30,1.32
01064500,1993,0.45,0.00,2.46,1.31,0.35,0.06,0.67,31.46,31.50,26.93,0.95,0.77,0.80,0.18,1.96,0.15
01073000,1993,1.23,0.00,5.51,2.59,0.54,0.16,2.10,13.35,12.52,40.45,0.81,1.08,4.55,0.03,14.62,0.47
01076500,1993,0.52,0.00,1.84,1.10,0.37,0.03,0.36,36.20,25.30,29.45,0.75,0.51,1.25,0.05,2.16,0.13
01078000,1993,0.66,0.00,2.92,0.87,0.08,0.00,0.36,28.75,16.08,39.23,0.63,0.60,2.13,0.08,7.32,0.28
01118300,1993,0.31,0.00,5.59,0.32,0.00,0.00,0.00,71.94,0.23,2.89,0.67,0.35,2.48,1.04,14.16,0.03
01121000,1993,1.45,0.00,6.26,0.81,0.18,0.01,0.02,63.14,0.58,7.79,0.07,0.14,5.29,0.53,13.22,0.52
01123000,1993,0.61,0.00,6.71,0.70,0.06,0.00,0.06,60.45,1.63,5.42,0.27,0.20,6.03,1.65,14.96,1.22
01127000,1993,2.48,0.00,8.08,3.46,1.39,0.28,0.40,37.42,4.57,17.26,0.27,0.35,5.92,1.91,15.77,0.44
