SITENO,dam_count,min_NID,max_NID,TOT_POPDENS90,TOT_POPDENS00,TOT_POPDENS10,TOT_FRESHWATER_WD,TOT_S1100,TOT_S1200,TOT_S1400,TOT_S1500,TOT_S1630,TOT_S1640,TOT_S1710,TOT_S1720,TOT_S1730,TOT_S1740,TOT_S1780,TOT_S1820,TOT_TOTAL_ROAD_DENS,TOT_RDX,GAGESII_class,WR_report_remarks,ADR_citation,Screening_comments
10336660,NA,NA,NA,6.17,7.39,6.14,17.72,0,0.05,0.85,0,0,0,0,0,0,0.01,0,0,0.91,11,Ref,No known diversion or regulation upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/10336660.2006.pdf,"mostly roadless, NEoA"
10336740,NA,NA,NA,1.74,3.47,2.45,28.58,0,0.03,0.73,0,0,0,0,0,0,0.02,0,0,0.78,5,Ref,One small diversion 50 ft. upstream from station for domestic use.,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/10336740.2005.pdf,mostly roadless
10343500,NA,NA,NA,0,0,0,6.93,0,0,1.59,0,0,0,0,0,0,0,0,0,1.59,10,Ref,NO regulation or diversion,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/10343500.2005.pdf,"HBN, some unpaved roads"
10348850,NA,NA,NA,9.4,17.51,25.15,4.49,0,0.3,0.87,0,0,0,0,0,0,0,0,0,1.18,8,Ref,,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/10348850.2005.pdf,possible proximal diversion?
10396000,1,80,80,0,0,0,7.57,0,0,0.42,0.22,0,0,0,0,0,0,0,0,0.63,91,Ref,No regulation or diversion upstream from station.,2002 ADR,"mostly roadless, NEoA"
11025500,1,29000,29000,2.5,2.8,2.38,25.03,0,0.05,0.86,0,0,0,0,0,0,0.09,0,0,1.01,109,Non-ref,No regulation. Diversions above station for irrigation of about 450 acres (1966 determination).,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/13186000.2006.pdf,mostly roadless
11098000,NA,NA,NA,3.76,5.03,2.67,52.72,0,0.41,0.6,0.03,0,0,0,0,0,0.01,0,0,1.05,17,Ref,No regulation or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11098000.2005.pdf,"mostly roadless, NEoA"
11124500,NA,NA,NA,0,0,0,15.57,0,0,0.2,0.16,0,0,0,0,0,0,0,0,0.37,26,Ref,No regulation or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11124500.2005.pdf,"some roads, NEoA"
11138500,NA,NA,NA,0,0.01,0,15.57,0,0,0.13,0.02,0,0,0,0,0,0,0,0,0.15,47,Non-ref,Small diversions above station for irrigation,http://pubs.usgs.gov/wdr/WDR-ID-02-2/ID02v2-06.pdf,"small prox irrigation & municipal, roadless HW"
11141280,NA,NA,NA,0.01,0.1,0.36,8.81,0,0,0.62,0.12,0,0,0,0,0,0,0,0,0.74,10,Ref,Small diversions upstream from station for domestic use.,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/11141280.2006.pdf,"mostly roadless, NEoA"
11143000,NA,NA,NA,0.64,0.05,0.85,33.32,0,0,0.13,0.12,0,0,0.04,0,0,0.08,0,0,0.38,11,Ref,No regulation or diversion,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11143000.2005.pdf,mostly roadless
11148900,4,35,1500,0.04,0.05,0.1,32.91,0,0,1.3,0,0,0,0,0,0,0.04,0,0,1.34,166,Ref,No storage or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11148900.2005.pdf,"some roads & logging, NEoA"
11151300,NA,NA,NA,0.15,0.09,0.12,22.47,0,0.09,1.01,0.07,0,0,0,0,0,0,0,0,1.18,219,Ref,No regulation; small diversions upstream from station by ranchers and sand-processing plant,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/11151300.2006.pdf,"lt irrigation, NEoA"
11160000,NA,NA,NA,102.76,105.23,108.93,18.57,0,0.1,2.95,0.05,0.01,0.01,0.01,0,0,0.04,0,0,3.9,76,Non-ref,"Diversions above station for irrigation of about 83,800 acres",http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/13302500.2006.pdf,much irrigated ag in valley
11162500,1,47,47,6.28,4.7,5.58,19.71,0,0.07,1.13,0.29,0,0,0,0,0,0.08,0,0,1.58,59,Ref,Small diversions upstream from station by pumping,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11162500.2005.pdf,"possible munip diversion, roadless HW"
11176400,NA,NA,NA,0.44,0.11,0.29,39.65,0,0.03,0.75,0.01,0,0,0,0,0,0.03,0,0,0.81,132,Ref,No regulation or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11176400.2005.pdf,"mostly roadless, NEoA"
11180500,NA,NA,NA,192.31,225.23,248.34,44.15,0,0.04,2.49,0,0,0,0,0,0,0,0,0,2.53,15,Ref,No regulation or diversion upstream from station.,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/11180500.2006.pdf,"proximal urban, NEoA"
11180960,NA,NA,NA,100.32,94.26,86.69,45.51,0,0,1.83,0,0,0,0,0,0,0,0,0,1.83,9,Ref,No storage or diversions upstream from station.,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/11180960.2006.pdf,lt suburban development on fringes
11224500,NA,NA,NA,0.05,0.15,0.03,87.06,0,0,0.65,0.06,0,0,0,0,0,0.01,0,0,0.71,129,Ref,Minor diversion for irrigation and stock ponds,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11224500.2005.pdf,lt local irrigation
11230500,NA,NA,NA,0.06,0,0,86.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ref,NO regulation or diversion,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11230500.2005.pdf,Wilderness--John Muir
11237500,NA,NA,NA,0.06,0.03,0.1,87.53,0,0.09,0.11,0,0,0,0,0,0,0,0,0,0.2,10,Ref,No diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11237500.2005.pdf,mostly roadless
