SITENO,YR,MNTH,RX1day,RX5day
01013500,1993,8,23.07,40.11
01013500,1993,9,24.43,46.6
01013500,1993,10,23.73,40.48
01013500,1993,11,15.31,33.67
01013500,1993,12,36.21,51.75
01013500,1994,1,18.06,35.36
01013500,1994,2,23.01,28.72
01013500,1994,3,12.63,17.82
01013500,1994,4,18.24,43.24
01013500,1994,5,17.12,33.45
01013500,1994,6,21.29,41.62
01013500,1994,7,21.81,42.87
01013500,1994,8,13.21,20.92
01013500,1994,9,19.12,35.96
01013500,1994,10,11.12,25.35
01013500,1994,11,26.5,52.46
01013500,1994,12,12.85,26.3
01013500,1995,1,28.46,64.05
01013500,1995,2,17.89,29.66
01013500,1995,3,12.74,43.85
01013500,1995,4,8.96,18.72
01013500,1995,5,18.5,28.76
01013500,1995,6,11.88,20.12
01013500,1995,7,25.45,42.63
01013500,1995,8,11.72,21.53
01013500,1995,9,13.09,20.95
01013500,1995,10,45.12,66.45
01013500,1995,11,23.33,47.56
01013500,1995,12,11.11,22.46
01013500,1996,1,34.85,60.98
01013500,1996,2,18.75,45.13
01013500,1996,3,8.05,14.04
01013500,1996,4,17.63,33.73
01013500,1996,5,16.99,39.16
01013500,1996,6,14.53,37.9
01013500,1996,7,32.69,53.35
01013500,1996,8,11.73,24.22
01013500,1996,9,40.91,65.7
01013500,1996,10,14.05,31.66
01013500,1996,11,11.74,22.05
01013500,1996,12,16.94,34.33
01013500,1997,1,26.74,37.37
01013500,1997,2,11.91,37.94
01013500,1997,3,13.59,22.2
01013500,1997,4,22.25,29.91
01013500,1997,5,48.83,71.3
01013500,1997,6,18.08,48.32
01013500,1997,7,20.99,34.82
01013500,1997,8,16.17,36.25
01013500,1997,9,20.29,23.37
01013500,1997,10,18.02,23.32
01013500,1997,11,10.44,27.94
01013500,1997,12,19,33.3
01013500,1998,1,20.21,60.57
01013500,1998,2,18.35,39.17
01013500,1998,3,26.12,34.4
01013500,1998,4,10.64,29.05
01013500,1998,5,12.72,36.1
01013500,1998,6,24.19,33.83
01013500,1998,7,31.67,52.63
01013500,1998,8,21.46,43.8
01013500,1998,9,18.29,40.07
01013500,1998,10,13.42,24.82
01013500,1998,11,14.58,30.1
01013500,1998,12,12.25,22.55
01013500,1999,1,20.28,38.13
01013500,1999,2,10,19.72
01013500,1999,3,10.88,27.36
01013500,1999,4,12.13,19.29
01013500,1999,5,14.36,39.81
01013500,1999,6,20.84,44.53
01013500,1999,7,16.24,33.72
01013500,1999,8,20.73,44.02
01013500,1999,9,43.97,105.55
01013500,1999,10,24.94,40.17
01013500,1999,11,17.15,33.73
01013500,1999,12,16.58,36.41
01013500,2000,1,12.56,22.21
01013500,2000,2,31.46,52.06
01013500,2000,3,14.12,23.42
01013500,2000,4,33.1,57
01013500,2000,5,20.38,45.98
01013500,2000,6,20.41,36.4
01013500,2000,7,24.25,47.91
01013500,2000,8,13.71,33.82
01013500,2000,9,13.84,25.97
01013500,2000,10,12.71,33.13
01013500,2000,11,19.81,33.01
01013500,2000,12,28.14,60.31
01013500,2001,1,3.84,6.68
01013500,2001,2,13.9,37.53
01013500,2001,3,13.97,22.66
01013500,2001,4,10.11,18.52
01013500,2001,5,11.08,33.21
01013500,2001,6,19.19,46.51
01013500,2001,7,17.47,42.58
01013500,2001,8,33.25,45.84
01013500,2001,9,33.05,55.02
01013500,2001,10,12.81,29.72
01013500,2001,11,13.62,29.65
01013500,2001,12,10.49,14.6
01013500,2002,1,9.97,19.28
01013500,2002,2,17.78,30.18
01013500,2002,3,12.71,25.93
01013500,2002,4,15.25,26.29
01013500,2002,5,21.26,34.21
01013500,2002,6,12.85,33.47
01013500,2002,7,25.8,71.79
01013500,2002,8,19.59,24.13
