SITENO,Dam_name,NID_ID,Owner_name,Owner_type,Purpose,Latitude,Longitude,State,County,City,River_name,State_reg,Dam_type,NID_Height_ft,NID_height_cat,Dam_length_ft,Volume_cubic_yards,Year_completed,Year_completed_category,NID_storage_acre_ft,Max_storage_acre_ft,Normal_storage_acre_ft,Surface_area_acres,Drainage_area_sq_miles,Max_discharge_cubic_ft_sec,Spillway_type,Spillway_width_ft,Hazard_potential_class,Condition_assessment
07243500,SCS-Little Deep Fork Creek Site-49,OK10627,CREEK CO CONS DIST,State,Flood Risk Reduction,35.70174904,-96.27355691,Oklahoma,Creek,EDNA,TR-FRANK HENRY CREEK,OWRB,Earth,23,Less than 25 feet,700,0,1960,1960-1969,236,236,33,8,NULL,2465,Controlled,1,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-14,OK10606,CREEK CO CONS DIST,State,Flood Risk Reduction,35.89718743,-96.53748802,Oklahoma,Creek,DEPEW,TR-E SPRING CR,OWRB,Earth,20,Less than 25 feet,930,0,1960,1960-1969,237,237,33,10,NULL,1350,Controlled,1,Low,Not Rated
07243500,Oknoname 037079,OK12716,ROBERT & CAROLYN WEBB,Private,Recreation,35.84621334,-96.35422857,Oklahoma,Creek,SLICK,TR-ROCK CREEK,OWRB,Earth,40,25-50 feet,560,0,1960,1960-1969,240,240,84,5,NULL,2100,Controlled,1,Low,Not Rated
07243500,A C M,OK02153,JIM A & TIFFANY M KALKA  JT,Private,Other,35.69856781,-96.78934943,Oklahoma,Lincoln,DAVENPORT,TR-CHUCKAHO CR,OWRB,Earth,24,Less than 25 feet,670,0,1960,1960-1969,240,240,120,14,NULL,2400,Controlled,1,Low,Not Rated
07243500,SCS-Okfuskee Tributaries Site-H07,OK12081,OKFUSKEE CO CONS DIST,State,Flood Risk Reduction,35.56390793,-96.56876778,Oklahoma,Okfuskee,MIDWAY,TR-LITTLE HILLIBY CREEK,OWRB,Earth,34,25-50 feet,720,0,1975,1970-1979,242,242,23,6,NULL,325,Controlled,1,Low,Not Rated
07243500,Lakeside Dam,OK30068,LAKESIDE OF OAKDALE HOA,Private,Recreation,35.584210999999996,-97.406568,Oklahoma,Oklahoma,OKLAHOMA CITY,TRIB TO DEEP FORK CREEK,OWRB,Earth,29,25-50 feet,2000,0,2005,Since 2000,245.8,245.8,59,17,0.53,NULL,Controlled,4,High,Satisfactory
07243500,SCS-Quapaw Creek Site-42,OK12072,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.59639084,-96.84170989,Oklahoma,Lincoln,SPARKS,TR-HOGSHOOTER CREEK,OWRB,Earth,21,Less than 25 feet,1550,0,1976,1970-1979,247,247,27,10,NULL,315,Controlled,1,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-58b,OK10636,CREEK CO CONS DIST,State,Flood Risk Reduction,35.71944719,-96.2694391,Oklahoma,Creek,EDNA,TR-FRANK HENRY CREEK,OWRB,Earth,33,25-50 feet,770,0,1972,1970-1979,248,248,32,6,NULL,580,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-38,OK02148,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.56145471,-96.91354127,Oklahoma,Lincoln,MEEKER,COON CREEK,OWRB,Earth,28,25-50 feet,700,0,1972,1970-1979,253,253,30,7,NULL,474,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-05c,OK12058,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.51742327,-96.83206021,Oklahoma,Lincoln,SPARKS,TR-LITTLE SAND CREEK,OWRB,Earth,29,25-50 feet,900,0,1976,1970-1979,260,260,21,6,NULL,510,Controlled,1,Low,Not Rated
07243500,Aluma,OK02425,LAKE ALUMA CLUB,Private,Recreation,35.53441939,-97.45162305,Oklahoma,Oklahoma,OKLAHOMA CITY,TR-DEEP FORK,OWRB,Earth,38,25-50 feet,745,0,1921,1920-1929,260,260,140,13,NULL,1960,Controlled,1,High,Fair
07243500,SCS-Quapaw Creek Site-09,OK12062,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.49794292,-96.84992085,Oklahoma,Lincoln,SPARKS,TR-SAND CREEK,OWRB,Earth,32,25-50 feet,700,0,1976,1970-1979,270,270,20,5,NULL,580,Controlled,1,Low,Not Rated
07243500,SCS-Bear-Fall & Coon Creek Site-027,OK02112,LOGAN CO CONS DIST,State,Flood Risk Reduction,35.73521871,-97.21396293,Oklahoma,Logan,WELLSTON,OPOSSUM CR,OWRB,Earth,23,Less than 25 feet,910,0,1960,1960-1969,270,270,31,10,NULL,870,Controlled,1,Low,Not Rated
