SITENO,TOT_STREAM_SLOPE,TOT_STREAM_LENGTH,TOT_STRM_DENS,SINU,TOT_BFI,TOT_EWT,TOT_RECHG,TOT_SATOF,TOT_TWI,TOT_IEOF,TOT_CONTACT,TOT_RF7100,q_mean,FDC_slope,mean_hf_date,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q,mean_cfs,CV,skew,kurt,ar1,amplitude,phase
12098500,0.061455,754.53,0.73,1.4,63.73,-73.19,1129.06,2.63,9.58,0.75,12.23,135.38,3.299253571,0.730769409,92.17391304,0.94,7.52,0.304347826,1.285714286,0.652173913,4.733333333,0,1403.88,0.36,0.33,0.21,0.867,0.46,93.593
12114500,0.06417,53.14,0.8,1.02,57.68,-68.76,1307.62,3.18,10.1,1.95,5.62,214.92,5.877910856,1.24794267,76.55813953,0.74,17.142,1.604651163,1.536231884,3.186046512,20.08759124,0,158.72,0.5,0.39,0.22,0.773,0.46,74.606
12115000,0.056096,78.08,0.71,1.2,57.1,-67.37,1349.71,3.46,10.17,2.08,5.78,206.9,5.558439987,1.189783684,69.09302326,0.67,15.6,1.697674419,1.561643836,3.279069767,19.87234043,0,250.51,0.49,0.39,0.23,0.771,0.46,63.906
12115500,0.036503,23.56,0.54,1.19,54.93,-51.68,1337.71,3.71,9.6,2.69,7.81,190.77,5.483574658,1.338767553,53.69767442,0.43,16.59,3,1.705426357,4.744186047,16.82843137,0,97.18,0.55,0.44,0.27,0.689,0.42,45.371
12117000,0.050915,34.96,0.78,1.18,60.42,-31.79,1238.36,6.22,10.18,1.95,18.19,173.51,5.186539955,0.962974914,54.46511628,1.15,12.92,0.581395349,1.52,1.279069767,6.509090909,0,94.34,0.41,0.34,0.21,0.793,0.71,43.761
12134500,0.091664,990.25,0.71,1.27,56.35,-104.28,1513.41,2.13,9.57,0.87,4.52,221.92,7.093517351,1.017454245,77.34883721,0.95,19.026,1.697674419,1.506849315,2.953488372,14.30708661,0,4018.92,0.47,0.39,0.25,0.73,0.3,74.485
12141300,0.115568,280.96,0.7,1.17,58.44,-104.96,1508.43,2.59,9.69,1.33,3.14,236.35,7.409203286,0.968542128,69.51219512,1,20.22,2.390243902,1.43877551,3.097560976,13.70866142,0,1220.29,0.48,0.42,0.29,0.679,0.29,60.996
12143600,0.067813,115.17,0.7,1.06,57.44,-95.78,1446.64,2.79,9.41,1.04,3.63,219.55,6.404918549,1.144796206,70,0.89,18.1,1.95,1.564102564,2.975,18.35294118,0,431.76,0.49,0.41,0.25,0.697,0.38,62.857
12144000,0.06148,148.34,0.69,1.36,59.13,-82.63,1415.08,3.67,9.78,1.44,11.09,203.45,6.213163437,0.946927458,71.25641026,1.3,15.44,1.256410256,1.346938776,1.282051282,10.78,0,543.19,0.42,0.36,0.23,0.73,0.44,63.311
12144500,0.08171,683.39,0.7,1.1,58.34,-95.75,1386.91,3.76,9.78,1.57,12.63,209.51,6.638638013,0.912212108,63.72093023,1.06,17.21,1.558139535,1.402985075,2.581395349,13.47747748,0,2650.67,0.45,0.38,0.26,0.713,0.38,53.134
12145500,0.047343,72.45,0.86,1.15,61.84,-46.05,758.44,6.88,10.36,3.31,59.94,154.07,3.773211716,1.569353939,30.97674419,0.29,12.78,4,1.912790698,5.255813953,18.51769912,0,129.62,0.58,0.48,0.28,0.724,0.64,24.67
12147500,0.038862,72.05,0.69,1.3,55.4,-99.58,1279.59,4.81,9.77,2.04,11.47,180.44,8.212636314,0.849128379,52.57142857,1.38,21.11,1.514285714,1.188679245,2.657142857,11.87096774,0,350.99,0.43,0.38,0.28,0.602,0.48,38.211
12147600,0.007289,6.86,0.42,1.08,53.25,-112.01,1553.01,3.19,8.84,0.59,2.27,209.88,8.500782553,1.277587657,52.97674419,0.65,27.07,5.76744186,1.572580645,6.046511628,12.32692308,0,56.21,0.58,0.52,0.35,0.555,0.26,36.741
12149000,0.061809,1073.14,0.69,1.07,57.93,-81.12,1172.56,4.68,10.21,1.8,28.26,180.46,5.688678765,0.857687165,57.02325581,0.99,14.206,1,1.325581395,2.069767442,13.70786517,0,3620.03,0.43,0.36,0.25,0.768,0.48,45.485
12167000,0.035915,412.64,0.59,1.33,52.83,-67.89,1337.7,2.94,10.18,0.97,25.1,204.37,6.652595989,1.015891201,40.27906977,0.81,18.27,2.697674419,1.379310345,3.906976744,14.21428571,0,1904.42,0.49,0.42,0.29,0.649,0.51,26.342
12175500,0.113348,154.48,0.56,1.05,64.12,-111.59,1324.76,1,9.19,0.47,5.34,167.62,5.674181471,1.301827324,159.255814,1.11,14.81,0.418604651,1.333333333,2.069767442,9.898876404,0,636.14,0.44,0.33,0.12,0.758,0.85,194.851
12178100,0.101753,41.08,0.57,1.08,63.84,-110.49,1006.81,1,9.2,0.01,6.75,188.68,6.047795306,0.986028308,113.4285714,1.3,16.38,1.19047619,1.46,1.904761905,6.925,0,179.84,0.44,0.41,0.24,0.724,0.3,153.065
12186000,0.086038,242.45,0.61,1.24,57.29,-115.51,1511.51,1.33,9.79,0.5,5.7,276.08,6.854587711,0.986455525,97.18604651,1.28,17.9,0.976744186,1.404761905,2.441860465,9.723809524,0,1118.11,0.44,0.37,0.22,0.698,0.25,114.021
12189500,0.072278,1051.35,0.57,1.04,59.24,-100.85,1348.9,1.35,9.46,0.5,6.83,243.67,5.750764088,0.80653386,97.93023256,1.55,13.82,0.558139535,1.375,0.627906977,5.703703704,0,4369.03,0.38,0.36,0.22,0.762,0.26,116.192
12340000,0.046358,5385.24,0.92,1.03,72.27,-64.17,203.84,0.01,10.73,7.62,57.24,22.58,0.632592805,0.682755399,138.744186,0.17,2.24,1.069767442,11.02173913,0.674418605,4,0,1513.95,0.51,0.57,0.31,0.969,0.87,146.433
12358500,0.068839,2070.35,0.71,1.16,68.13,-92.74,734.65,0.02,9.98,4.86,18.8,43.45,2.358839223,1.296110299,144.7674419,0.32,9.57,3.162790698,7.970588235,3.511627907,21.15231788,0,2810.81,0.59,0.53,0.26,0.932,0.88,153.287
