SITENO,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_NO10AVE,TOT_NO200AVE,TOT_NO4AVE,TOT_OM,TOT_PERMAVE,TOT_ROCKDEP,TOT_BDAVE,TOT_AWCAVE,TOT_WTDEP,TOT_SALINAVE,TOT_pH,TOT_HGA,TOT_HGAC,TOT_HGAD,TOT_HGB,TOT_HGBC,TOT_HGBD,TOT_HGC,TOT_HGCD,TOT_HGD,TOT_HGVAR,TOT_KFACT,TOT_KFACT_UP
06919500,46.28,31.66,22.06,80.18,61.88,83.78,0.77,1.76,45.41,1.41,0.14,4.63,15.48,5.82,0,0,0,46.36,0,0,31.04,0.39,22.2,0,0.33,0.31
06921070,42.48,38.18,19.35,59.66,48,67.44,0.48,1.8,55.54,1.38,0.1,4.83,1.74,5.88,0,0,0,63.19,0,0,27.87,0.02,8.93,0,0.33,0.29
06921200,44.78,39.12,16.09,68.03,57.26,74.65,0.54,1.45,57.33,1.39,0.11,3.52,2.03,5.91,0,0,0,36.06,0,0,45.08,0.01,18.85,0,0.33,0.33
06928000,41.36,39.91,18.73,53.6,43.6,62.07,0.48,1.72,56.77,1.37,0.09,4.82,0,5.42,0,0,0,59.39,0,0,36.74,0.02,3.85,0,0.33,0.3
06933500,41.03,39.2,19.77,54.96,44.25,63.24,0.54,1.77,55.17,1.37,0.1,5.06,0,5.43,0,0,0,58.17,0,0,36.43,0.04,5.36,0,0.33,0.29
06934000,41.2,39.24,19.57,56.13,45.35,64.31,0.54,1.75,54.78,1.37,0.1,5.08,0,5.47,0.02,0,0,57.45,0,0,36.75,0.19,5.58,0,0.33,0.3
07014500,37.76,36.65,25.59,53.73,40.17,63.52,0.35,2.06,57.8,1.38,0.09,4.73,0,5.37,3,0,0,56.52,0,0,39.28,0.04,1.16,0,0.32,0.31
07019000,42.75,35.92,21.33,64.97,51.79,72.88,0.47,1.83,55.2,1.39,0.11,4.63,0,5.53,2.14,0,0,45.75,0,0,46.39,0.92,4.8,0,0.33,0.32
07029500,44.83,23.96,31.21,95.24,65.64,98.58,0.35,1.65,59.39,1.48,0.15,4.02,0,5.04,0.64,0,0,37.97,0,4.11,45.95,0,11.34,0,0.31,0.34
07049000,37.39,31.79,30.82,62.95,42.93,71.15,0.85,1.92,46.08,1.41,0.11,5.91,0,5.12,0,0,0,58.95,0,0,28.72,0,12.33,0,0.32,0.24
07052500,42.66,39.3,18.03,54.55,44.9,62.38,0.5,1.64,57.64,1.38,0.1,4.56,0,5.78,0,0,0,54.18,0,0,42.16,0.04,3.62,0,0.35,0.31
07056000,37.31,31.76,30.93,64.54,44.01,72.53,0.84,1.89,45.86,1.41,0.11,5.93,0,5.2,0.08,0,0,55.02,0,0,31.94,0,12.96,0,0.32,0.24
07057500,40.44,38.94,20.62,59.45,47.84,66.66,0.72,1.84,52.73,1.37,0.1,5.38,0,5.28,0,0,0,51.25,0,0,38.39,0,10.36,0,0.34,0.29
07058000,39.66,34.22,26.12,52.09,38.72,60.5,0.46,2.02,57.45,1.37,0.1,5.14,0,5.78,0,0,0,56.35,0,0,42.58,0.02,1.05,0,0.34,0.3
07060710,37.72,35.32,26.96,57.7,41.06,63.73,0.58,1.76,52.84,1.38,0.11,5.88,0,5.89,0.42,0,0,46.75,0,0,43.53,0,9.3,0,0.36,0.27
07066000,40.26,41.26,18.47,58.92,48.25,67.6,0.55,1.75,55.75,1.36,0.1,5.19,0,5.26,0.34,0,0,64.59,0,0,28.23,0,6.84,0,0.34,0.3
07067000,39.54,41.28,19.17,58.35,47.41,67.07,0.52,1.77,56.26,1.36,0.1,5.22,0,5.17,0.14,0,0,66.65,0,0,27.19,0,6.01,0,0.31,0.29
07068000,39.64,41.47,18.88,59.15,48.26,67.84,0.54,1.76,56.33,1.36,0.1,5.22,0,5.18,0.23,0,0,66.41,0,0,26.9,0,6.46,0,0.31,0.29
